Label,Text
a,refined the groundwork of my character that I can not overcome an intense distaste to the usual brutality exercised on board ship I have never believed it to be necessary and when I heard of a mariner equally noted for his kindliness of heart and the respect and obedience paid to him by his crew I felt myself peculiarly fortunate in being able to secure his services I heard of him first in rather a romantic manner from a lady who owes to him the happiness of her life This briefly is his story Some years ago he loved a
a,the consolation of your father Elizabeth my love you must supply my place to my younger children Alas I regret that I am taken from you and happy and beloved as I have been is it not hard to quit you all But these are not thoughts befitting me I will endeavour to resign myself cheerfully to death and will indulge a hope of meeting you in another world She died calmly and her countenance expressed affection even in death I need not describe the feelings of those whose dearest ties are rent by that most irreparable evil the void
a,and gratitude assisted the development of filial love My temper was sometimes violent and my passions vehement but by some law in my temperature they were turned not towards childish pursuits but to an eager desire to learn and not to learn all things indiscriminately I confess that neither the structure of languages nor the code of governments nor the politics of various states possessed attractions for me It was the secrets of heaven and earth that I desired to learn and whether it was the outward substance of things or the inner spirit of nature and the mysterious soul
a,a prophetic feeling I felt my heart sink within me But I concealed my feelings by an appearance of hilarity that brought smiles and joy to the countenance of my father but hardly deceived the everwatchful and nicer eye of Elizabeth She looked forward to our union with placid contentment not unmingled with a little fear which past misfortunes had impressed that what now appeared certain and tangible happiness might soon dissipate into an airy dream and leave no trace but deep and everlasting regret Preparations were made for the event congratulatory visits were received and all wore a smiling
a,were now lighted up with indignation now subdued to downcast sorrow and quenched in infinite wretchedness Sometimes he commanded his countenance and tones and related the most horrible incidents with a tranquil voice suppressing every mark of agitation then like a volcano bursting forth his face would suddenly change to an expression of the wildest rage as he shrieked out imprecations on his persecutor His tale is connected and told with an appearance of the simplest truth yet I own to you that the letters of Felix and Safie which he showed me and the apparition of the monster seen
a,a scattered piece of ice that was continually lessening and thus preparing for me a hideous death In this manner many appalling hours passed several of my dogs died and I myself was about to sink under the accumulation of distress when I saw your vessel riding at anchor and holding forth to me hopes of succour and life I had no conception that vessels ever came so far north and was astounded at the sight I quickly destroyed part of my sledge to construct oars and by these means was enabled with infinite fatigue to move my ice raft
a,of oblivion Chapter 10 I spent the following day roaming through the valley I stood beside the sources of the Arveiron which take their rise in a glacier that with slow pace is advancing down from the summit of the hills to barricade the valley The abrupt sides of vast mountains were before me the icy wall of the glacier overhung me a few shattered pines were scattered around and the solemn silence of this glorious presencechamber of imperial Nature was broken only by the brawling waves or the fall of some vast fragment the thunder sound of the avalanche
a,to let him wear a very valuable miniature that she possessed of your mother This picture is gone and was doubtless the temptation which urged the murderer to the deed We have no trace of him at present although our exertions to discover him are unremitted but they will not restore my beloved William Come dearest Victor you alone can console Elizabeth She weeps continually and accuses herself unjustly as the cause of his death her words pierce my heart We are all unhappy but will not that be an additional motive for you my son to return and be
a,were to brave and overcome For this was it a glorious for this was it an honourable undertaking You were hereafter to be hailed as the benefactors of your species your names adored as belonging to brave men who encountered death for honour and the benefit of mankind And now behold with the first imagination of danger or if you will the first mighty and terrific trial of your courage you shrink away and are content to be handed down as men who had not strength enough to endure cold and peril and so poor souls they were chilly and
a,surrounded by mountains of ice still in imminent danger of being crushed in their conflict The cold is excessive and many of my unfortunate comrades have already found a grave amidst this scene of desolation Frankenstein has daily declined in health a feverish fire still glimmers in his eyes but he is exhausted and when suddenly roused to any exertion he speedily sinks again into apparent lifelessness I mentioned in my last letter the fears I entertained of a mutiny This morning as I sat watching the wan countenance of my friendhis eyes half closed and his limbs hanging listlesslyI
